subject,predicate,object,source
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Princeton,_New_Jersey",seed
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/German_Empire,seed
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kingdom_of_Württemberg,seed
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Ulm,seed
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/resource/Alfred_Kleiner,seed
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Elsa_Einstein,seed
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Mileva_Marić,seed
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Rhône-Alpes,seed
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Passy,_Haute-Savoie",seed
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Warsaw,seed
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Congress_Poland,seed
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Russian_Empire,seed
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_of_Paris,seed
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/resource/Gabriel_Lippmann,seed
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Polonium,seed
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Radium,seed
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Radioactive_decay,seed
http://dbpedia.org/resource/Marie_Curie,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Pierre_Curie,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/California,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Fellow_of_the_Royal_Society,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/National_Medal_of_Science,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Oersted_Medal,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Albert_Einstein_Award,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Ernest_Orlando_Lawrence_Award,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/resource/John_Archibald_Wheeler,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/James_M._Bardeen,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Albert_Hibbs,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/George_Zweig,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Giovanni_Rossi_Lomanitz,seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Laurie_Brown_(physicist),seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Michael_Cohen_(physicist),seed
http://dbpedia.org/resource/Richard_Feynman,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Thomas_Curtright,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Copenhagen,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Copenhagen,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_of_Cambridge,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_of_Copenhagen,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Victoria_University_of_Manchester,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Atoms_for_Peace_Award,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Copley_Medal,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Faraday_Lectureship_Prize,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Fellow_of_the_Royal_Society,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Franklin_Medal,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Hughes_Medal,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Matteucci_Medal,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Max_Planck_Medal,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Order_of_the_Elephant,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Sonning_Prize,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/resource/Christian_Christiansen_(physicist),seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/BKS_theory,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Bohr_model,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Bohr–Van_Leeuwen_theorem,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Complementarity_(physics),seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Correspondence_principle,seed
http://dbpedia.org/resource/Niels_Bohr,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Margrethe_Bohr,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Bavaria,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Munich,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/West_Germany,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/German_Empire,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kingdom_of_Bavaria,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Würzburg,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Ludwig_Maximilian_University_of_Munich,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_of_Göttingen,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/resource/Arnold_Sommerfeld,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Discovery_of_the_neutron,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Quantum_spacetime,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/C*-algebra,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Canonical_commutation_relation,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Classical_Heisenberg_model,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Copenhagen_interpretation,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Euler–Heisenberg_Lagrangian,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Exchange_interaction,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/German_nuclear_program_during_World_War_II,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Heisenberg's_microscope,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Heisenberg_cut,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Heisenberg_group,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Heisenberg_picture,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Heisenberg–Langevin_equations,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Isospin,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Kramers–Heisenberg_formula,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Matrix_mechanics,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Optical_theorem,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Quantum_Heisenberg_model,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Quantum_field_theory,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Quantum_fluctuation,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Resonance_(chemistry),seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/S-matrix,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Spin_isomers_of_hydrogen,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Umdeutung_paper,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Uncertainty_principle,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Vacuum_polarization,seed
http://dbpedia.org/resource/Werner_Heisenberg,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Wave_function_collapse,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Vienna,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Vienna,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Austria-Hungary,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Doctor_of_Philosophy,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Habilitation,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_of_Vienna,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Erwin_Schrödinger_Prize,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Fellow_of_the_Royal_Society,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Haitinger_Prize,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Matteucci_Medal,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Max_Planck_Medal,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Pour_le_Mérite,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/resource/Friedrich_Hasenöhrl,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Schrödinger's_cat,seed
http://dbpedia.org/resource/Erwin_Schrödinger,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Schrödinger_equation,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Allied-occupied_Germany,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/British_occupation_zone_in_Germany,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Göttingen,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kiel,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Duchy_of_Holstein,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/German_Confederation,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Humboldt_University_of_Berlin,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Ludwig_Maximilian_University_of_Munich,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Copley_Medal,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Fellow_of_the_Royal_Society,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Goethe_Prize,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Lorentz_Medal,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Max_Planck_Medal,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/resource/Alexander_von_Brill,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Erich_Kretschmann,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Erich_Schumann,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Hans_von_Euler-Chelpin,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Hartmut_Kallmann,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Kurd_von_Mosengeil,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Max_Abraham,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Max_von_Laue,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Moritz_Schlick,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Walter_H._Schottky,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Walther_Bothe,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Walther_Meissner,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Wolfgang_Köhler,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/List_of_things_named_after_Max_Planck,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Old_quantum_theory,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Planck's_law,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Planck_constant,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Planck_postulate,seed
http://dbpedia.org/resource/Max_Planck,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Planck_units,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Tallahassee,_Florida",seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/England,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bristol,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/United_Kingdom_of_Great_Britain_and_Ireland,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Bachelor_of_Arts,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_of_Bristol,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Copley_Medal,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Fellow_of_the_Royal_Society,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Max_Planck_Medal,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Order_of_Merit,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Royal_Medal,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/J._Robert_Oppenheimer_Memorial_Prize,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/resource/Ralph_H._Fowler,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Dennis_W._Sciama,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/John_Polkinghorne,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Behram_Kurşunoğlu,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/C._J._Eliezer,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Harish-Chandra,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/doctoralStudent,http://dbpedia.org/resource/Richard_J._Eden,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Gravitational_wave,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Born–Infeld_model,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Dirac_equation,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Dirac_large_numbers_hypothesis,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Dirac_membrane,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Fermi–Dirac_statistics,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Magnetic_monopole,seed
http://dbpedia.org/resource/Paul_Dirac,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Quantum_electrodynamics,seed
http://dbpedia.org/resource/Enrico_Fermi,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Chicago,seed
http://dbpedia.org/resource/Enrico_Fermi,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Illinois,seed
http://dbpedia.org/resource/Enrico_Fermi,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Rome,seed
http://dbpedia.org/resource/Enrico_Fermi,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kingdom_of_Italy,seed
http://dbpedia.org/resource/Enrico_Fermi,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Scuola_Normale_Superiore_di_Pisa,seed
http://dbpedia.org/resource/Enrico_Fermi,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Laura_Fermi,seed
http://dbpedia.org/resource/J._J._Thomson,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Cambridge,seed
http://dbpedia.org/resource/J._J._Thomson,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/England,seed
http://dbpedia.org/resource/J._J._Thomson,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/England,seed
http://dbpedia.org/resource/J._J._Thomson,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Manchester,seed
http://dbpedia.org/resource/J._J._Thomson,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/United_Kingdom_of_Great_Britain_and_Ireland,seed
