s,s_type,p,p_type,o,o_type
http://dbpedia.org/resource/Basil_Balme,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Australia,uri
http://dbpedia.org/resource/Basil_Balme,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Perth,uri
http://dbpedia.org/resource/Basil_Balme,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Australia,uri
http://dbpedia.org/resource/Basil_Balme,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Perth,uri
http://dbpedia.org/resource/Bibudhendra_Sarkar,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Bengal_Presidency,uri
http://dbpedia.org/resource/Bibudhendra_Sarkar,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Presidencies_and_provinces_of_British_India,uri
http://dbpedia.org/resource/Bibudhendra_Sarkar,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kushtia_District,uri
http://dbpedia.org/resource/Bibudhendra_Sarkar,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Bengal_Presidency,uri
http://dbpedia.org/resource/Bibudhendra_Sarkar,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Presidencies_and_provinces_of_British_India,uri
http://dbpedia.org/resource/Bibudhendra_Sarkar,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Kushtia_District,uri
http://dbpedia.org/resource/Chung_Soon-yeong,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/South_Jeolla_Province,uri
http://dbpedia.org/resource/Chung_Soon-yeong,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Gokseong_County,uri
http://dbpedia.org/resource/Chung_Soon-yeong,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/South_Jeolla_Province,uri
http://dbpedia.org/resource/Chung_Soon-yeong,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Gokseong_County,uri
http://dbpedia.org/resource/David_Allen_(botanist),uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Guildford,uri
http://dbpedia.org/resource/David_Allen_(botanist),uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Guildford,uri
http://dbpedia.org/resource/Eunice_D._Kinney,uri,http://dbpedia.org/ontology/birthPlace,uri,"http://dbpedia.org/resource/Southampton,_New_Brunswick",uri
http://dbpedia.org/resource/Eunice_D._Kinney,uri,http://dbpedia.org/ontology/birthPlace,uri,"http://dbpedia.org/resource/Southampton,_New_Brunswick",uri
http://dbpedia.org/resource/Florian_G._Kaiser,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Switzerland,uri
http://dbpedia.org/resource/Florian_G._Kaiser,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Lohn-Ammannsegg,uri
http://dbpedia.org/resource/Florian_G._Kaiser,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Switzerland,uri
http://dbpedia.org/resource/Florian_G._Kaiser,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Lohn-Ammannsegg,uri
http://dbpedia.org/resource/Harry_Lee_Morrison,uri,http://dbpedia.org/ontology/birthPlace,uri,"http://dbpedia.org/resource/Arlington_County,_Virginia",uri
http://dbpedia.org/resource/Harry_Lee_Morrison,uri,http://dbpedia.org/ontology/birthPlace,uri,"http://dbpedia.org/resource/Arlington_County,_Virginia",uri
http://dbpedia.org/resource/Ibrahim_Eltayeb,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Sudan,uri
http://dbpedia.org/resource/Ibrahim_Eltayeb,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Sudan,uri
http://dbpedia.org/resource/Iza_Coghlan,uri,http://dbpedia.org/ontology/birthPlace,uri,"http://dbpedia.org/resource/Redfern,_New_South_Wales",uri
http://dbpedia.org/resource/Iza_Coghlan,uri,http://dbpedia.org/ontology/birthPlace,uri,"http://dbpedia.org/resource/Redfern,_New_South_Wales",uri
http://dbpedia.org/resource/Jeanne_Hoff_(psychiatrist),uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/St._Louis,uri
http://dbpedia.org/resource/Jeanne_Hoff_(psychiatrist),uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/St._Louis,uri
http://dbpedia.org/resource/Joseph_Monroe_(computer_scientist),uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/North_Carolina,uri
http://dbpedia.org/resource/Joseph_Monroe_(computer_scientist),uri,http://dbpedia.org/ontology/birthPlace,uri,"http://dbpedia.org/resource/Rowland,_North_Carolina",uri
http://dbpedia.org/resource/Kim_Yi_Dionne,uri,http://dbpedia.org/ontology/birthPlace,uri,http://dbpedia.org/resource/Castle_Air_Force_Base,uri
