strategy,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs
NL,1.0,0.0,1.0,0.0,1.0,0.0,3
SPARQL_local,1.0,0.0,1.0,0.0,1.0,0.0,3
SPARQL_prefixed,1.0,0.0,0.8333,0.2887,0.8889,0.1924,3
SPARQL_full,1.0,0.0,1.0,0.0,1.0,0.0,3
SPARQL_nl,1.0,0.0,1.0,0.0,1.0,0.0,3
TripleScan_pattern_local,1.0,0.0,1.0,0.0,1.0,0.0,3
TripleScan_pattern_prefixed,1.0,0.0,1.0,0.0,1.0,0.0,3
TripleScan_pattern_full,1.0,0.0,1.0,0.0,1.0,0.0,3
TripleScan_pattern_nl,1.0,0.0,1.0,0.0,1.0,0.0,3
TripleScan_constrained_local,1.0,0.0,1.0,0.0,1.0,0.0,3
TripleScan_constrained_prefixed,1.0,0.0,0.5,0.0,0.6667,0.0,3
TripleScan_constrained_full,1.0,0.0,1.0,0.0,1.0,0.0,3
TripleScan_constrained_nl,1.0,0.0,1.0,0.0,1.0,0.0,3
TripleScan_sparql_local,1.0,0.0,1.0,0.0,1.0,0.0,3
TripleScan_sparql_prefixed,1.0,0.0,1.0,0.0,1.0,0.0,3
TripleScan_sparql_full,1.0,0.0,1.0,0.0,1.0,0.0,3
TripleScan_sparql_nl,1.0,0.0,1.0,0.0,1.0,0.0,3
ValueScan_pattern_local,1.0,0.0,1.0,0.0,1.0,0.0,3
ValueScan_pattern_prefixed,1.0,0.0,1.0,0.0,1.0,0.0,3
ValueScan_pattern_full,1.0,0.0,1.0,0.0,1.0,0.0,3
ValueScan_pattern_nl,1.0,0.0,1.0,0.0,1.0,0.0,3
ValueScan_constrained_local,1.0,0.0,1.0,0.0,1.0,0.0,3
ValueScan_constrained_prefixed,1.0,0.0,0.5,0.0,0.6667,0.0,3
ValueScan_constrained_full,1.0,0.0,1.0,0.0,1.0,0.0,3
ValueScan_constrained_nl,1.0,0.0,1.0,0.0,1.0,0.0,3
ValueScan_sparql_local,1.0,0.0,1.0,0.0,1.0,0.0,3
ValueScan_sparql_prefixed,1.0,0.0,0.8333,0.2887,0.8889,0.1924,3
ValueScan_sparql_full,1.0,0.0,1.0,0.0,1.0,0.0,3
ValueScan_sparql_nl,1.0,0.0,1.0,0.0,1.0,0.0,3
