strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL,21,0.9778,0.0305,0.7238,0.0782,0.8287,0.0393,5,15.6,1.37,0.16,111.0,7.0
SimpleScan,21,0.9724,0.0379,0.6285,0.0213,0.763,0.0126,5,13.6,1.06,0.19,136.0,4.0
GD,21,0.9238,0.0135,0.5905,0.0928,0.7174,0.078,5,13.4,16.47,4.02,2267.0,201.0
DG,21,1.0,0.0,0.7238,0.0521,0.8389,0.0344,5,15.2,8.57,1.14,1672.0,24.0
DG_motiv0,21,1.0,0.0,0.7524,0.0398,0.8582,0.0258,5,15.8,12.27,3.15,2004.0,514.0
DG_motiv_closure,21,1.0,0.0,0.7905,0.0261,0.8828,0.0163,5,16.6,17.02,1.34,8186.0,805.0
DG_telephone,21,1.0,0.0,0.7619,0.0673,0.8635,0.0426,5,16,16.95,2.71,4316.0,72.0
DG_lookahead,21,0.9246,0.0083,0.5905,0.0722,0.719,0.056,5,13.4,9.54,1.27,1935.0,135.0
DG_lookahead_closure,21,1.0,0.0,0.7524,0.0521,0.8579,0.0336,5,15.8,16.46,0.96,6281.0,1484.0
MuGalois,21,0.8503,0.069,0.3524,0.2223,0.4744,0.2286,5,8.4,17.24,0.98,2520.0,73.0
MuGalois_lowTau,21,1.0,0.0,0.6381,0.0261,0.7788,0.0193,5,13.4,1.78,0.06,257.0,2.0
