strategy,n_expected,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_runs,n_generated,time_mean,time_std,tokens_mean,tokens_std
NL_naive,3,0.85,0.2236,0.8667,0.2982,0.8514,0.2598,5,3,1.28,0.3,80.0,6.0
NL_precise,3,1.0,0.0,0.6667,0.0,0.8,0.0,5,2,0.83,0.01,65.0,0.0
UnionBranches,3,0.75,0.0,1.0,0.0,0.8571,0.0,5,4,2.16,0.53,194.0,0.0
Encoding_list,3,1.0,0.0,0.3333,0.0,0.5,0.0,5,1,0.86,0.05,105.0,0.0
Encoding_OR,3,0.6,0.0,1.0,0.0,0.75,0.0,5,5,1.46,0.42,115.0,0.0
Encoding_natural,3,0.95,0.1118,0.7334,0.1491,0.8114,0.0255,5,2.4,1.86,0.16,197.0,4.0
MuGalois_τ_high,3,0.72,0.0671,1.0,0.0,0.8357,0.0479,5,4.2,1.86,0.16,246.0,1.0
MuGalois_τ_mid,3,0.72,0.0671,1.0,0.0,0.8357,0.0479,5,4.2,1.86,0.26,246.0,1.0
MuGalois_τ_low,3,0.72,0.0671,1.0,0.0,0.8357,0.0479,5,4.2,2.25,0.22,246.0,1.0
MuGaloisChoice,3,0.69,0.0822,1.0,0.0,0.8143,0.0587,5,4.4,1.89,0.15,246.0,2.0
